meas_id,lot_id,wafer_id,die_id,via_id,via_type,layer,resistance_ohm,continuity_pass,mean_humidity_pct,anneal_temp_c,meas_timestamp
0,LOT001,LOT001-W01,1,1,tungsten,M3,1.7686,True,38.07,414.57,2024-03-01T07:00:00
1,LOT001,LOT001-W01,1,2,tungsten,M2,1.5064,True,38.07,414.57,2024-03-01T07:00:30
2,LOT001,LOT001-W01,1,3,copper,M3,1.3914,True,38.07,414.57,2024-03-01T07:01:00
3,LOT001,LOT001-W01,1,4,tungsten,M1,0.9774,True,38.07,414.57,2024-03-01T07:01:30
4,LOT001,LOT001-W01,1,5,tungsten,M4,2.1817,True,38.07,414.57,2024-03-01T07:02:00
5,LOT001,LOT001-W01,1,6,copper,M4,1.6607,True,38.07,414.57,2024-03-01T07:02:30
6,LOT001,LOT001-W01,1,7,copper,M3,1.4173,False,38.07,414.57,2024-03-01T07:03:00
7,LOT001,LOT001-W01,1,8,tungsten,M1,0.9972,True,38.07,414.57,2024-03-01T07:03:30
8,LOT001,LOT001-W01,1,9,tungsten,M4,2.0865,True,38.07,414.57,2024-03-01T07:04:00
9,LOT001,LOT001-W01,1,10,copper,M4,1.79,True,38.07,414.57,2024-03-01T07:04:30
10,LOT001,LOT001-W01,2,1,tungsten,M4,1.8922,True,38.07,414.57,2024-03-01T07:05:00
11,LOT001,LOT001-W01,2,2,copper,M4,1.5828,True,38.07,414.57,2024-03-01T07:05:30
12,LOT001,LOT001-W01,2,3,copper,M4,1.7782,True,38.07,414.57,2024-03-01T07:06:00
13,LOT001,LOT001-W01,2,4,copper,M1,0.8006,True,38.07,414.57,2024-03-01T07:06:30
14,LOT001,LOT001-W01,2,5,tungsten,M1,1.0692,False,38.07,414.57,2024-03-01T07:07:00
15,LOT001,LOT001-W01,2,6,copper,M3,1.3447,True,38.07,414.57,2024-03-01T07:07:30
16,LOT001,LOT001-W01,2,7,tungsten,M2,1.3771,False,38.07,414.57,2024-03-01T07:08:00
17,LOT001,LOT001-W01,2,8,copper,M3,1.2137,True,38.07,414.57,2024-03-01T07:08:30
18,LOT001,LOT001-W01,2,9,tungsten,M2,1.4861,True,38.07,414.57,2024-03-01T07:09:00
19,LOT001,LOT001-W01,2,10,copper,M3,1.5321,True,38.07,414.57,2024-03-01T07:09:30
20,LOT001,LOT001-W01,3,1,tungsten,M3,1.7622,False,38.07,414.57,2024-03-01T07:10:00
21,LOT001,LOT001-W01,3,2,tungsten,M1,1.0824,True,38.07,414.57,2024-03-01T07:10:30
22,LOT001,LOT001-W01,3,3,tungsten,M1,0.9995,True,38.07,414.57,2024-03-01T07:11:00
23,LOT001,LOT001-W01,3,4,tungsten,M3,1.8069,True,38.07,414.57,2024-03-01T07:11:30
24,LOT001,LOT001-W01,3,5,copper,M3,1.359,True,38.07,414.57,2024-03-01T07:12:00
25,LOT001,LOT001-W01,3,6,copper,M1,0.7423,True,38.07,414.57,2024-03-01T07:12:30
26,LOT001,LOT001-W01,3,7,copper,M2,1.1637,True,38.07,414.57,2024-03-01T07:13:00
27,LOT001,LOT001-W01,3,8,copper,M2,1.0333,True,38.07,414.57,2024-03-01T07:13:30
28,LOT001,LOT001-W01,3,9,tungsten,M2,1.366,True,38.07,414.57,2024-03-01T07:14:00
29,LOT001,LOT001-W01,3,10,copper,M2,1.0062,True,38.07,414.57,2024-03-01T07:14:30
30,LOT001,LOT001-W01,4,1,tungsten,M3,1.7659,True,38.07,414.57,2024-03-01T07:15:00
31,LOT001,LOT001-W01,4,2,tungsten,M1,0.9937,True,38.07,414.57,2024-03-01T07:15:30
32,LOT001,LOT001-W01,4,3,copper,M2,1.1547,True,38.07,414.57,2024-03-01T07:16:00
33,LOT001,LOT001-W01,4,4,tungsten,M4,1.9549,True,38.07,414.57,2024-03-01T07:16:30
34,LOT001,LOT001-W01,4,5,copper,M3,1.3405,True,38.07,414.57,2024-03-01T07:17:00
35,LOT001,LOT001-W01,4,6,copper,M3,1.3157,True,38.07,414.57,2024-03-01T07:17:30
36,LOT001,LOT001-W01,4,7,tungsten,M1,0.9467,True,38.07,414.57,2024-03-01T07:18:00
37,LOT001,LOT001-W01,4,8,copper,M4,1.7396,True,38.07,414.57,2024-03-01T07:18:30
38,LOT001,LOT001-W01,4,9,copper,M4,1.6128,True,38.07,414.57,2024-03-01T07:19:00
39,LOT001,LOT001-W01,4,10,tungsten,M4,2.3444,True,38.07,414.57,2024-03-01T07:19:30
40,LOT001,LOT001-W01,5,1,copper,M1,0.8274,True,38.07,414.57,2024-03-01T07:20:00
41,LOT001,LOT001-W01,5,2,tungsten,M3,1.7242,True,38.07,414.57,2024-03-01T07:20:30
42,LOT001,LOT001-W01,5,3,tungsten,M3,1.7701,True,38.07,414.57,2024-03-01T07:21:00
43,LOT001,LOT001-W01,5,4,copper,M2,1.0218,False,38.07,414.57,2024-03-01T07:21:30
44,LOT001,LOT001-W01,5,5,tungsten,M2,1.3979,True,38.07,414.57,2024-03-01T07:22:00
45,LOT001,LOT001-W01,5,6,tungsten,M1,0.9885,True,38.07,414.57,2024-03-01T07:22:30
46,LOT001,LOT001-W01,5,7,tungsten,M3,1.6739,True,38.07,414.57,2024-03-01T07:23:00
47,LOT001,LOT001-W01,5,8,copper,M1,0.8076,True,38.07,414.57,2024-03-01T07:23:30
48,LOT001,LOT001-W01,5,9,tungsten,M3,1.7347,True,38.07,414.57,2024-03-01T07:24:00
49,LOT001,LOT001-W01,5,10,tungsten,M4,2.0904,True,38.07,414.57,2024-03-01T07:24:30
50,LOT001,LOT001-W01,6,1,tungsten,M1,0.972,True,38.07,414.57,2024-03-01T07:25:00
51,LOT001,LOT001-W01,6,2,tungsten,M1,1.06,True,38.07,414.57,2024-03-01T07:25:30
52,LOT001,LOT001-W01,6,3,copper,M2,1.176,True,38.07,414.57,2024-03-01T07:26:00
53,LOT001,LOT001-W01,6,4,tungsten,M2,1.5296,True,38.07,414.57,2024-03-01T07:26:30
54,LOT001,LOT001-W01,6,5,tungsten,M2,1.3856,True,38.07,414.57,2024-03-01T07:27:00
55,LOT001,LOT001-W01,6,6,tungsten,M2,1.4435,True,38.07,414.57,2024-03-01T07:27:30
56,LOT001,LOT001-W01,6,7,tungsten,M1,0.8822,True,38.07,414.57,2024-03-01T07:28:00
57,LOT001,LOT001-W01,6,8,tungsten,M1,1.0228,True,38.07,414.57,2024-03-01T07:28:30
58,LOT001,LOT001-W01,6,9,copper,M4,1.8228,True,38.07,414.57,2024-03-01T07:29:00
59,LOT001,LOT001-W01,6,10,tungsten,M3,1.8978,True,38.07,414.57,2024-03-01T07:29:30
60,LOT001,LOT001-W01,7,1,copper,M3,1.3182,True,38.07,414.57,2024-03-01T07:30:00
61,LOT001,LOT001-W01,7,2,copper,M3,1.2693,True,38.07,414.57,2024-03-01T07:30:30
62,LOT001,LOT001-W01,7,3,tungsten,M4,2.3068,True,38.07,414.57,2024-03-01T07:31:00
63,LOT001,LOT001-W01,7,4,tungsten,M4,2.0413,True,38.07,414.57,2024-03-01T07:31:30
64,LOT001,LOT001-W01,7,5,tungsten,M3,1.7021,True,38.07,414.57,2024-03-01T07:32:00
65,LOT001,LOT001-W01,7,6,copper,M4,1.7629,True,38.07,414.57,2024-03-01T07:32:30
66,LOT001,LOT001-W01,7,7,copper,M3,1.3631,True,38.07,414.57,2024-03-01T07:33:00
67,LOT001,LOT001-W01,7,8,copper,M1,0.8014,True,38.07,414.57,2024-03-01T07:33:30
68,LOT001,LOT001-W01,7,9,copper,M3,1.3783,True,38.07,414.57,2024-03-01T07:34:00
69,LOT001,LOT001-W01,7,10,copper,M1,0.8188,True,38.07,414.57,2024-03-01T07:34:30
70,LOT001,LOT001-W01,8,1,tungsten,M4,2.0245,True,38.07,414.57,2024-03-01T07:35:00
71,LOT001,LOT001-W01,8,2,tungsten,M2,1.4495,True,38.07,414.57,2024-03-01T07:35:30
72,LOT001,LOT001-W01,8,3,copper,M1,0.7866,True,38.07,414.57,2024-03-01T07:36:00
73,LOT001,LOT001-W01,8,4,tungsten,M2,1.3575,True,38.07,414.57,2024-03-01T07:36:30
74,LOT001,LOT001-W01,8,5,copper,M3,1.4106,True,38.07,414.57,2024-03-01T07:37:00
