lot_id,wafer_id,deposition_temp_c,etch_time_s,anneal_temp_c,pressure_torr,operator_id,process_timestamp
LOT001,LOT001-W01,311.68,93.75,414.57,0.00547,OP01,2024-03-01T13:00:00
LOT001,LOT001-W02,321.02,88.42,390.47,0.004992,OP01,2024-03-01T14:00:00
LOT001,LOT001-W03,327.04,93.89,397.2,0.005033,OP02,2024-03-01T15:00:00
LOT001,LOT001-W04,313.13,91.84,417.01,0.004521,OP04,2024-03-01T16:00:00
LOT001,LOT001-W05,319.6,89.08,423.18,0.00466,OP01,2024-03-01T17:00:00
LOT002,LOT002-W01,316.57,88.24,407.68,0.005266,OP04,2024-03-01T19:00:00
LOT002,LOT002-W02,323.3,92.15,415.48,0.006071,OP02,2024-03-01T20:00:00
LOT002,LOT002-W03,313.49,93.08,402.32,0.005564,OP04,2024-03-01T21:00:00
LOT002,LOT002-W04,313.28,85.88,408.29,0.005325,OP04,2024-03-01T22:00:00
LOT002,LOT002-W05,314.68,91.16,418.15,0.005058,OP02,2024-03-01T23:00:00
LOT003,LOT003-W01,326.97,91.12,413.28,0.005339,OP04,2024-03-02T01:00:00
LOT003,LOT003-W02,325.05,82.71,414.34,0.00484,OP01,2024-03-02T02:00:00
LOT003,LOT003-W03,314.89,88.62,402.94,0.005747,OP02,2024-03-02T03:00:00
LOT003,LOT003-W04,306.54,88.33,424.52,0.005081,OP03,2024-03-02T04:00:00
LOT003,LOT003-W05,325.69,93.97,418.79,0.004826,OP02,2024-03-02T05:00:00
LOT004,LOT004-W01,318.47,83.62,422.87,0.004433,OP02,2024-03-02T07:00:00
LOT004,LOT004-W02,323.98,90.71,396.21,0.005345,OP01,2024-03-02T08:00:00
LOT004,LOT004-W03,325.0,88.45,412.38,0.005228,OP03,2024-03-02T09:00:00
LOT004,LOT004-W04,317.1,88.09,400.07,0.004402,OP03,2024-03-02T10:00:00
LOT004,LOT004-W05,320.1,92.4,402.96,0.005223,OP02,2024-03-02T11:00:00
LOT005,LOT005-W01,319.21,87.88,419.98,0.00496,OP03,2024-03-02T13:00:00
LOT005,LOT005-W02,309.42,85.01,388.29,0.0052,OP02,2024-03-02T14:00:00
LOT005,LOT005-W03,316.97,96.5,396.42,0.004822,OP02,2024-03-02T15:00:00
LOT005,LOT005-W04,318.36,85.25,396.0,0.00483,OP03,2024-03-02T16:00:00
LOT005,LOT005-W05,306.18,92.17,422.6,0.005119,OP03,2024-03-02T17:00:00
LOT006,LOT006-W01,320.58,87.35,388.31,0.005116,OP01,2024-03-02T19:00:00
LOT006,LOT006-W02,332.81,88.8,410.33,0.004488,OP04,2024-03-02T20:00:00
LOT006,LOT006-W03,330.87,94.18,413.3,0.005178,OP02,2024-03-02T21:00:00
LOT006,LOT006-W04,310.49,86.8,431.95,0.004537,OP04,2024-03-02T22:00:00
LOT006,LOT006-W05,325.08,88.89,389.35,0.004265,OP03,2024-03-02T23:00:00
LOT007,LOT007-W01,322.51,94.19,394.77,0.005998,OP03,2024-03-03T01:00:00
LOT007,LOT007-W02,312.08,79.34,416.22,0.005134,OP02,2024-03-03T02:00:00
LOT007,LOT007-W03,316.68,86.94,397.81,0.00493,OP02,2024-03-03T03:00:00
LOT007,LOT007-W04,318.73,84.82,412.36,0.004163,OP04,2024-03-03T04:00:00
LOT007,LOT007-W05,319.57,98.84,402.71,0.005065,OP02,2024-03-03T05:00:00
LOT008,LOT008-W01,310.52,85.17,402.51,0.004637,OP01,2024-03-03T07:00:00
LOT008,LOT008-W02,313.43,94.19,441.93,0.004549,OP01,2024-03-03T08:00:00
LOT008,LOT008-W03,318.75,89.8,415.77,0.004673,OP04,2024-03-03T09:00:00
LOT008,LOT008-W04,316.36,83.87,416.69,0.004361,OP01,2024-03-03T10:00:00
LOT008,LOT008-W05,321.28,89.41,433.69,0.005143,OP04,2024-03-03T11:00:00
